"product_name","product_price","product_price_url"
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Alexa,Siri, Echo, Google Home (No Hub Required), A19 60W Equivalent RGB Color Changing Bulb (4 Pack)","$37.99","https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-1"
"Govee Smart WiFi LED Strip Lights Works with Alexa, Google Home Brighter 5050 LED, 16 Million Colors Phone App Controlled Music Light Strip for Home, Kitchen, TV, Party, for iOS and Android, 16.4ft","$33.99","https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_2?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-2"
"Smart Light Bulb, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Works with Alexa, Echo, Google Home and Siri, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 2 Packs","$19.99","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SNRSWNY/ref=sr_1_3?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-3"
"Philips Hue White A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device","$14.97","https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07QV9XLTK/ref=sxin_7_ac_d_rm?ac_md=0-0-c21hcnQgbGlnaHRz-ac_d_rm&cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07QV9XLTK&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=RScEo&pd_rd_wg=ti12u&pf_rd_p=a0516f22-66df-4efd-8b9a-279a864d1512&pf_rd_r=89B11JMBQ5NG1TVRM6KD&psc=1&qid=1588303604&sr=1-1-12d4272d-8adb-4121-8624-135149aa9081"
"Philips Hue Play White & Color Smart Light, 2 Pack Base kit, Hub Required/Power Supply Included (Works with Amazon Alexa, Apple Homekit & Google Home)","$129.99","https://www.amazon.com/Philips-White-Color-Ambiance-Double/dp/B07GXB3S7Z/ref=sxin_7_ac_d_rm?ac_md=1-1-cGhpbGlwcyBodWU%3D-ac_d_rm&cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07GXB3S7Z&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=RScEo&pd_rd_wg=ti12u&pf_rd_p=a0516f22-66df-4efd-8b9a-279a864d1512&pf_rd_r=89B11JMBQ5NG1TVRM6KD&psc=1&qid=1588303604&sr=1-2-12d4272d-8adb-4121-8624-135149aa9081"
"Govee 32.8ft LED Strip Lights Works with Alexa Google Home, Wireless Smart App Control RGB Light Strip Kit Music Sync for Room TV Kitchen Home Party, Bright 5050 LEDs, 16 Million Colors, Easy Install","$59.99","https://www.amazon.com/Govee-Wireless-Control-Kitchen-Million/dp/B07WHP2V77/ref=sxin_7_ac_d_rm?ac_md=3-2-c21hcnQgbGlnaHQgc3RyaXA%3D-ac_d_rm&cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07WHP2V77&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=RScEo&pd_rd_wg=ti12u&pf_rd_p=a0516f22-66df-4efd-8b9a-279a864d1512&pf_rd_r=89B11JMBQ5NG1TVRM6KD&psc=1&qid=1588303604&sr=1-3-12d4272d-8adb-4121-8624-135149aa9081"
"Sengled Smart Hub, For Use with Sengled Smart Products, Compatible with Alexa and Google Assistant","$29.99","https://www.amazon.com/Sengled-Z02-hub-Smart-Hub-White/dp/B07HKSTLB5/ref=sxin_7_ac_d_rm?ac_md=4-3-c2VuZ2xlZA%3D%3D-ac_d_rm&cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07HKSTLB5&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=RScEo&pd_rd_wg=ti12u&pf_rd_p=a0516f22-66df-4efd-8b9a-279a864d1512&pf_rd_r=89B11JMBQ5NG1TVRM6KD&psc=1&qid=1588303604&sr=1-4-12d4272d-8adb-4121-8624-135149aa9081"
"Philips Hue White Ambiance Smart Bulb Starter Kit (4 A19 Bulbs and 1 Hub Compatible with Alexa, Apple HomeKit, and Google Assistant) and Lutron Aurora Smart Bulb Dimmer","$159.94","https://www.amazon.com/Philips-Ambiance-Compatible-Assistant-Lutron/dp/B07YMBM78G/ref=sxin_9_osp17-7be271fb_cov?ascsubtag=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&creativeASIN=B07YMBM78G&cv_ct_cx=smart+lights&cv_ct_id=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-search&dchild=1&keywords=smart+lights&linkCode=oas&pd_rd_i=B07YMBM78G&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=EOXV0&pd_rd_wg=ti12u&pf_rd_p=ff28ffeb-0bd3-46bd-a00c-4c3cc2d00812&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-1-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=digitaltren0b-20"
"Nanoleaf Rhythm Edition Smarter Kit - NL28-2003TW-9PK","",""
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack","$39.80","https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sxin_9_osp17-7be271fb_cov?ascsubtag=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&creativeASIN=B07RF9NCDP&cv_ct_cx=smart+lights&cv_ct_id=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-search&dchild=1&keywords=smart+lights&linkCode=oas&pd_rd_i=B07RF9NCDP&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=EOXV0&pd_rd_wg=ti12u&pf_rd_p=ff28ffeb-0bd3-46bd-a00c-4c3cc2d00812&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-3-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=digitaltren0b-20"
"Kasa Smart Light Bulb, LED Smart WiFi Alexa Bulbs works with Alexa and Google Home,A19 Tunable,2.4Ghz,No Hub Required, 800LM Tunable White(2700K-5000K), 10W(KL120)","$24.99","https://www.amazon.com/Smart-Light-Tunable-White-TP-Link/dp/B07FZ289NH/ref=sxin_9_osp17-7be271fb_cov?ascsubtag=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&creativeASIN=B07FZ289NH&cv_ct_cx=smart+lights&cv_ct_id=amzn1.osa.7be271fb-10e6-42d4-855a-bdc568ffa0f2.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-search&dchild=1&keywords=smart+lights&linkCode=oas&pd_rd_i=B07FZ289NH&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=EOXV0&pd_rd_wg=ti12u&pf_rd_p=ff28ffeb-0bd3-46bd-a00c-4c3cc2d00812&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-4-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=digitaltren0b-20"
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","$22.99","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sxin_11_sk-bs-2-na_084ff3a289b9a416fa42b5c6add063d81b3ef3e8?cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07DLSNNDS&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=JL1Dr&pd_rd_wg=ti12u&pf_rd_p=0103fdde-1c7b-4b6e-a78a-b262cf0ce16b&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-1-ef6ec057-d556-4fd0-bed3-084ae9cc889f"
"Alexa Smart Light Bulb, RGB Color Changing LED Bulbs, Works with Alexa and Google Home, A19 E26 Bulb 60 Watt Dimmable, No Hub Required, 2 Pack","$21.99","https://www.amazon.com/LampUX-Changing-Dimmable-Equivalent-Required/dp/B07PY5ZFM7/ref=sxin_11_sk-bs-2-na_084ff3a289b9a416fa42b5c6add063d81b3ef3e8?cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07PY5ZFM7&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=JL1Dr&pd_rd_wg=ti12u&pf_rd_p=0103fdde-1c7b-4b6e-a78a-b262cf0ce16b&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-2-ef6ec057-d556-4fd0-bed3-084ae9cc889f"
"Smart Light Bulb, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Works with Alexa, Echo, Google Home and Siri, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 2 Packs","$19.99","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SNRSWNY/ref=sxin_11_sk-bs-2-na_084ff3a289b9a416fa42b5c6add063d81b3ef3e8?cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07SNRSWNY&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=JL1Dr&pd_rd_wg=ti12u&pf_rd_p=0103fdde-1c7b-4b6e-a78a-b262cf0ce16b&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-3-ef6ec057-d556-4fd0-bed3-084ae9cc889f"
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","$37.99","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sxin_11_sk-bs-2-na_084ff3a289b9a416fa42b5c6add063d81b3ef3e8?cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07RX62616&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=JL1Dr&pd_rd_wg=ti12u&pf_rd_p=0103fdde-1c7b-4b6e-a78a-b262cf0ce16b&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-4-ef6ec057-d556-4fd0-bed3-084ae9cc889f"
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","$14.99","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sxin_11_sk-bs-2-na_084ff3a289b9a416fa42b5c6add063d81b3ef3e8?cv_ct_cx=smart+lights&dchild=1&keywords=smart+lights&pd_rd_i=B07G1PH3JL&pd_rd_r=85b969ef-3b07-4d8f-8342-c06a6fc37997&pd_rd_w=JL1Dr&pd_rd_wg=ti12u&pf_rd_p=0103fdde-1c7b-4b6e-a78a-b262cf0ce16b&pf_rd_r=89B11JMBQ5NG1TVRM6KD&qid=1588303604&sr=1-5-ef6ec057-d556-4fd0-bed3-084ae9cc889f"
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","$22.99","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_4?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-4"
"Philips Hue Play White & Color Smart Light, 2 Pack Base kit, Hub Required/Power Supply Included (Works with Amazon Alexa, Apple Homekit & Google Home)","$129.99","https://www.amazon.com/Philips-White-Color-Ambiance-Double/dp/B07GXB3S7Z/ref=sr_1_5?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-5"
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack","$39.80","https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_6?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-6"
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","$37.99","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-7"
"Smart WiFi Light Bulb Works with Alexa Google Home, NiteBird RGB Color Changing Dimmable A19 E26 LED Lights Bulbs, Warm White 2700k, 75W Equivalent, No Hub Required,4 Pack","$32.99","https://www.amazon.com/NiteBird-Changing-Dimmable-Equivalent-Required/dp/B0824HJ4NN/ref=sr_1_8?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-8"
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack","$29.99","https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_9?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-9"
"Smart WiFi Light Bulb, LUMIMAN LED RGBCW Color Changing, Compatible with Alexa, Siri and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","$39.99","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_10?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-10"
"Smart Light Bulbs,TECKIN LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),4 Pack","$69.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07ZFSW1YJ/ref=sr_1_11?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-11"
"Taloya Smart Ceiling Light Flush Mount LED WiFi, Compatible with Alexa Google Home, Dimmable Low Profile Ambient Light Fixture for Bedroom Living Room,12 Inch 24W","$89.99","https://www.amazon.com/Taloya-Ceiling-Compatible-Dimmable-Profile/dp/B07WY3VM1M/ref=sr_1_12?dchild=1&keywords=smart+lights&qid=1588303604&sr=8-12"
